,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP,remainingDetections,remainingDetectionsP,remainingIds,remainingIdsP,DET,DETWRONG,IDS,IDSWRONG
67,67.0,801362,37409,9.336354855857902,3656,1933,52.87199124726477,801362,75.88418164962648,3656,89.2578125,72.34177341049002,3.5424082391364666,42.0654296875,47.1923828125
68,68.0,796614,36089,9.060598985204878,3618,1917,52.98507462686567,796614,75.43457448772908,3618,88.330078125,72.01716234246469,3.4174121452644,41.5283203125,46.8017578125
69,69.0,794277,35430,8.921320899383968,3604,1909,52.96892341842398,794277,75.21327458516922,3604,87.98828125,71.85826579283034,3.355008792338876,41.3818359375,46.6064453125
70,70.0,791865,34782,8.784830747665321,3585,1900,52.998605299860536,791865,74.98487263182116,3585,87.5244140625,71.69122555829222,3.293647073528952,41.1376953125,46.38671875
71,71.0,786713,33423,8.496872429971287,3552,1884,53.04054054054054,786713,74.49700908967807,3552,86.71875,71.33205117643104,3.164957913247029,40.72265625,45.99609375
72,72.0,784206,32782,8.360558322685621,3525,1873,53.13475177304965,784206,74.25961120533165,3525,86.0595703125,71.15535215282098,3.1042590525106695,40.33203125,45.7275390625
73,73.0,781542,32094,8.212994311246229,3508,1866,53.19270239452679,781542,74.00734636133531,3508,85.64453125,70.96823678805492,3.0391095732803803,40.087890625,45.556640625
74,74.0,778989,31475,8.080987022923301,3489,1861,53.33906563485239,778989,73.76559255250547,3489,85.1806640625,70.78509857173024,2.980493980775222,39.74609375,45.4345703125
75,75.0,773606,30169,7.799577562738655,3464,1849,53.377598152424945,773606,73.25585469393475,3464,84.5703125,70.39903109088446,2.8568236030502834,39.4287109375,45.1416015625
76,76.0,770803,29501,7.654614732947329,3448,1845,53.509280742459396,770803,72.99042738247763,3448,84.1796875,70.19685937844746,2.793568004030177,39.1357421875,45.0439453125
77,77.0,767958,28861,7.516296464129549,3430,1834,53.46938775510204,767958,72.72102292257912,3430,83.740234375,69.9880590852748,2.7329638373043266,38.96484375,44.775390625
78,78.0,764929,28206,7.374802105816356,3414,1827,53.51493848857645,764929,72.43419476474693,3414,83.349609375,69.7632555043261,2.670939260420839,38.7451171875,44.6044921875
79,79.0,758757,26943,7.101878467019085,3362,1808,53.77751338488994,758757,71.84974333188453,3362,82.080078125,69.29840260673672,2.551340725147794,37.939453125,44.140625
80,80.0,755499,26277,6.956197162405245,3345,1802,53.87144992526159,755499,71.54123024564574,3345,81.6650390625,69.05295573149702,2.4882745141487055,37.6708984375,43.994140625
81,81.0,752249,25629,6.813967183738363,3321,1791,53.929539295392956,752249,71.23347471149101,3321,81.0791015625,68.80656191615225,2.426912795338782,37.353515625,43.7255859375
82,82.0,745428,24320,6.525110406370568,3270,1765,53.97553516819572,745428,70.58756686580817,3270,79.833984375,68.28460853022585,2.302958335582316,36.7431640625,43.0908203125
83,83.0,741749,23603,6.3641474407110765,3241,1750,53.99568034557235,741749,70.23918760114503,3241,79.1259765625,68.00412487109779,2.235062730047262,36.4013671875,42.724609375
84,84.0,738006,22962,6.2227136364745,3207,1740,54.25631431244153,738006,69.88474791980931,3207,78.2958984375,67.71038405049842,2.174363869310902,35.8154296875,42.48046875
85,85.0,734087,22329,6.083475119434072,3178,1726,54.310887350534934,734087,69.513642092624,3178,77.587890625,67.39921953196539,2.114422560658616,35.44921875,42.138671875
86,86.0,725727,20975,5.780410540051562,3101,1690,54.49854885520799,725727,68.72200016476758,3101,75.7080078125,66.73579329433834,1.9862068704292386,34.4482421875,41.259765625
87,87.0,721120,20279,5.624306634124695,3065,1672,54.55138662316477,721120,68.28574485835196,3065,74.8291015625,66.36544501923709,1.9202998391148762,34.0087890625,40.8203125
88,88.0,716258,19544,5.457251437331241,3039,1661,54.65613688713392,716258,67.82534257925651,3039,74.1943359375,65.97464283786586,1.8506997413906574,33.642578125,40.5517578125
89,89.0,711166,18828,5.294966294789121,2983,1635,54.81059336238686,711166,67.34316067774398,2983,72.8271484375,65.56026184787787,1.7828988298661121,32.91015625,39.9169921875
90,90.0,699719,17377,4.966850978750041,2892,1584,54.77178423236515,699719,66.25919833944583,2892,70.60546875,64.6137005188285,1.645497820617348,31.93359375,38.671875
91,91.0,693492,16635,4.797459812081466,2851,1562,54.78779375657664,693492,65.6695387360054,2851,69.6044921875,64.09430387118584,1.5752348648195653,31.4697265625,38.134765625
92,92.0,686737,15894,4.62884626865889,2807,1531,54.54221588884931,686737,65.02988069501616,2807,68.5302734375,63.52481409198387,1.5050666030322917,31.15234375,37.3779296875
93,93.0,670363,14226,4.244267657970383,2691,1460,54.25492382014121,670363,63.47936096693948,2691,65.6982421875,62.13224397343644,1.347116993503044,30.0537109375,35.64453125
94,94.0,660579,13384,4.052202688853264,2627,1421,54.092120289303395,660579,62.55287476811804,2627,64.1357421875,61.285490131463696,1.267384636654347,29.443359375,34.6923828125
95,95.0,649382,12462,3.8381106960155966,2550,1375,53.92156862745098,649382,61.492585932447184,2550,62.255859375,60.31250917348226,1.1800767589649188,28.6865234375,33.5693359375
96,96.0,636042,11487,3.61202562094956,2449,1305,53.28705594120049,636042,60.22936783225524,2449,59.7900390625,59.141617733536734,1.087750098718506,27.9296875,31.8603515625
97,97.0,598921,9333,3.116604694108238,2257,1170,51.838723969871516,598921,56.71423146814541,2257,55.1025390625,55.83045226806359,0.8837792000818157,26.5380859375,28.564453125
98,98.0,569438,7953,2.7932803922463902,2105,1056,50.16627078384798,569438,53.9223679563044,2105,51.3916015625,53.1692664907252,0.7531014655792007,25.6103515625,25.78125
99,99.0,521895,6327,2.424625643089127,1890,894,47.3015873015873,521895,49.42033061466829,1890,46.142578125,48.821201610176956,0.5991290044913369,24.31640625,21.826171875
100,100.0,406432,3694,1.8177702543106842,1506,580,38.51261620185923,406432,38.48667607925131,1506,36.767578125,38.136876404430545,0.3497996748207679,22.607421875,14.16015625
